year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Dec 2021,"2,271","-1,957","-2,019","-1,704",NESTLEIND
Mar 2011,"49,085","-32,120","-11,670","5,295",ONGC
Mar 2012,"46,129","-38,375",102,"7,856",ONGC
Mar 2013,"39,874","-41,220","-6,927","-8,273",ONGC
Mar 2014,"53,270","-63,633","15,225","4,862",ONGC
Mar 2015,"33,950","-30,058","-10,641","-6,749",ONGC
Mar 2016,"46,292","-38,256","-8,972",-935,ONGC
Mar 2017,"45,780","-43,815","-1,867",99,ONGC
Mar 2018,"56,792","-66,798","9,909",-97,ONGC
Mar 2019,"61,458","-37,132","-23,324","1,001",ONGC
Mar 2020,"70,593","-53,159","-16,726",708,ONGC
Mar 2021,"47,185","-39,141","-8,239",-195,ONGC
Mar 2022,"78,000","-40,345","-35,979","1,676",ONGC
Mar 2011,"4,895","-13,344","7,948",-501,POWERGRID
Mar 2012,"8,582","-18,495","8,218","-1,695",POWERGRID
Mar 2013,"11,690","-22,084","9,962",-432,POWERGRID
Mar 2014,"15,223","-26,639","13,712","2,295",POWERGRID
Mar 2015,"15,800","-24,185","6,399","-1,986",POWERGRID
Mar 2016,"15,008","-21,576","5,621",-948,POWERGRID
Mar 2017,"21,575","-23,836","3,959","1,698",POWERGRID
Mar 2018,"22,710","-25,701","1,285","-1,707",POWERGRID
Mar 2019,"23,271","-18,727","-2,431","2,113",POWERGRID
Mar 2020,"30,739","-10,733","-18,806","1,199",POWERGRID
Mar 2021,"29,403","-9,244","-20,521",-362,POWERGRID
Mar 2022,"26,124",753,"-28,967","-2,091",POWERGRID
Mar 2011,"33,338","-32,040","14,950","16,248",RELIANCE
Mar 2012,"24,483","-6,301","-7,590","10,592",RELIANCE
Mar 2013,"36,918","-27,601",408,"9,725",RELIANCE
Mar 2014,"43,261","-73,070","13,713","-16,096",RELIANCE
Mar 2015,"34,374","-64,706","8,444","-21,888",RELIANCE
Mar 2016,"38,134","-36,186","-3,210","-1,262",RELIANCE
