year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2015,"2,524","-2,370",-433,-280,DRREDDY
Mar 2016,"3,263","-1,610","-1,700",-47,DRREDDY
Mar 2017,"2,144","-1,890",-369,-114,DRREDDY
Mar 2018,"1,803","-1,483",-444,-124,DRREDDY
Mar 2019,"2,870",-769,"-2,133",-31,DRREDDY
Mar 2020,"2,984",-495,"-2,516",-27,DRREDDY
Mar 2021,"3,570","-2,255",-30,"1,286",DRREDDY
Mar 2022,"2,811","-2,565",-242,3,DRREDDY
Dec 2010,336,-192,-69,75,EICHERMOT
Dec 2011,405,-338,-114,-47,EICHERMOT
Dec 2012,496,-773,-111,-388,EICHERMOT
Dec 2013,716,-790,-47,-121,EICHERMOT
Dec 2014,"1,047","-1,214",-162,-329,EICHERMOT
Mar 2016,"1,463","-1,001",-466,-4,EICHERMOT
Mar 2017,"1,708","-1,744",25,-10,EICHERMOT
Mar 2018,"2,482","-2,145",-262,75,EICHERMOT
Mar 2019,"1,575",-660,-292,623,EICHERMOT
Mar 2020,"1,694","-1,508",-858,-673,EICHERMOT
Mar 2021,"1,691","-1,625",-15,51,EICHERMOT
Mar 2022,"1,527",-983,-593,-50,EICHERMOT
Mar 2011,"3,546","-3,204",-295,48,GRASIM
Mar 2012,"4,350","-3,629",-679,42,GRASIM
Mar 2013,"4,242","-5,687","1,348",-97,GRASIM
Mar 2014,"3,549","-2,336","-1,046",168,GRASIM
Mar 2015,"4,594","-2,359","-2,278",-42,GRASIM
Mar 2016,"5,868","-4,515","-1,365",-11,GRASIM
Mar 2017,"7,288","-3,509","-3,799",-20,GRASIM
Mar 2018,"-4,140","1,546","3,449",856,GRASIM
Mar 2019,"-1,659","-2,212","4,158",287,GRASIM
Mar 2020,"16,620","-11,364","-3,418","1,838",GRASIM
Mar 2021,"15,075","-7,146","-8,003",-75,GRASIM
Mar 2022,"7,038","-1,053","-6,733",-748,GRASIM
Jun 2011,"1,796",-690,"-1,054",52,HCLTECH
Jun 2012,"2,418","-1,026","-1,239",153,HCLTECH
Jun 2013,"4,492","-2,361","-2,086",44,HCLTECH
Jun 2014,"6,457","-4,842","-1,308",307,HCLTECH
Jun 2015,"5,539","-2,088","-3,140",311,HCLTECH
Mar 2016,"3,823","-2,208","-2,237",-623,HCLTECH
Mar 2017,"8,995","-3,890","-4,517",588,HCLTECH
