year,share_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,symbol
Mar 2017,80,"15,736","48,282","64,516","128,614","1,645",4,"62,658","64,306","128,614",BAJAJFINSV
Mar 2018,80,"20,403","65,695","75,337","161,514","1,792",28,"69,428","90,266","161,514",BAJAJFINSV
Mar 2019,80,"23,660","99,754","84,934","208,428","2,097",66,"81,679","124,587","208,428",BAJAJFINSV
Mar 2020,80,"31,222","127,212","92,791","251,304","3,216",45,"91,821","156,223","251,304",BAJAJFINSV
Mar 2021,80,"35,750","128,461","115,554","279,845","3,182",129,"113,654","162,879","279,845",BAJAJFINSV
Mar 2022,80,"40,167","161,179","131,987","333,413","3,586",113,"119,222","210,493","333,413",BAJAJFINSV
Sep 2022,159,"42,303","179,047","138,766","360,275","3,997",61,"122,632","233,584","360,275",BAJAJFINSV
Mar 2011,362,"14,989","25,038","26,402","66,791","19,658","8,209","9,089","29,835","66,791",BPCL
Mar 2012,362,"15,518","30,153","31,781","77,814","24,988","4,534","7,891","40,401","77,814",BPCL
Mar 2013,723,"16,052","33,157","29,696","79,628","24,721","7,463","7,470","39,974","79,628",BPCL
Mar 2014,723,"18,703","33,152","35,882","88,460","27,580","9,372","6,985","44,523","88,460",BPCL
Mar 2015,723,"21,825","25,492","38,281","86,322","29,109","15,787","7,712","33,714","86,322",BPCL
Mar 2016,656,"27,138","23,388","35,241","86,422","25,358","17,459","9,401","34,203","86,422",BPCL
Mar 2017,"1,311","30,033","35,725","42,017","109,086","33,684","16,834","21,327","37,241","109,086",BPCL
Mar 2018,"1,967","35,108","37,659","45,621","120,356","45,539","9,875","23,725","41,217","120,356",BPCL
Mar 2019,"1,967","37,255","44,839","52,866","136,926","49,315","13,654","24,907","49,050","136,926",BPCL
Mar 2020,"1,967","35,022","65,476","48,395","150,860","60,175","17,757","27,029","45,900","150,860",BPCL
Mar 2021,"2,093","51,634","54,532","52,719","160,978","64,098","17,037","26,768","53,075","160,978",BPCL
Mar 2022,"2,129","49,866","64,534","70,999","187,529","83,901","15,433","23,616","64,578","187,529",BPCL
Mar 2011,"1,899","46,868","58,749","37,742","145,258","124,051","4,823",622,"15,761","145,258",BHARTIARTL
Mar 2012,"1,899","48,712","69,023","36,265","155,900","129,168","4,414","1,836","20,482","155,900",BHARTIARTL
Mar 2013,"1,899","48,423","66,736","40,912","157,970","125,674","2,992","7,710","21,594","157,970",BHARTIARTL
Mar 2014,"1,999","57,757","75,896","45,840","181,492","140,614",0,"15,531","25,347","181,492",BHARTIARTL
Mar 2015,"1,999","37,778","83,415","58,747","181,939","124,279","17,415","10,752","29,494","181,939",BHARTIARTL
Mar 2016,"1,999","64,823","100,646","57,004","224,472","172,293","5,702","11,977","34,500","224,472",BHARTIARTL
Mar 2017,"1,999","65,494","107,288","57,542","232,322","178,235","10,838","14,339","28,910","232,322",BHARTIARTL
Mar 2018,"1,999","67,600","111,334","68,589","249,521","187,200","9,751","16,159","36,411","249,521",BHARTIARTL
Mar 2019,"1,999","69,424","125,428","77,176","274,026","200,832","9,634","15,711","47,850","274,026",BHARTIARTL
Mar 2020,"2,728","74,417","148,228","133,718","359,091","229,256","4,282","25,476","100,077","359,091",BHARTIARTL
Mar 2021,"2,746","56,207","162,785","122,679","344,417","223,480","5,726","27,550","87,661","344,417",BHARTIARTL
Mar 2022,"2,795","63,759","169,678","124,975","361,207","244,083","5,955","29,349","81,820","361,207",BHARTIARTL
Mar 2011,24,302,618,675,"1,619",505,13,389,713,"1,619",BRITANNIA
Mar 2012,24,385,604,829,"1,842",624,111,249,858,"1,842",BRITANNIA
Mar 2013,24,532,380,948,"1,883",737,147,108,891,"1,883",BRITANNIA
Mar 2014,24,774,150,"1,159","2,107",848,107,198,954,"2,107",BRITANNIA
Mar 2015,24,"1,221",145,"1,403","2,793",844,48,518,"1,383","2,793",BRITANNIA
Mar 2016,24,"2,068",131,"1,271","3,494",950,90,788,"1,665","3,494",BRITANNIA
Mar 2017,24,"2,672",125,"1,288","4,109","1,160",30,487,"2,432","4,109",BRITANNIA
Mar 2018,24,"3,382",201,"1,581","5,188","1,346",203,"1,079","2,560","5,188",BRITANNIA
Mar 2019,24,"4,229",156,"1,829","6,238","1,688",101,"1,476","2,972","6,238",BRITANNIA
Mar 2020,24,"4,379","1,538","1,889","7,830","1,878",40,"2,893","3,019","7,830",BRITANNIA
Mar 2021,24,"3,524","2,122","2,331","8,000","1,793",117,"2,781","3,310","8,000",BRITANNIA
Mar 2022,24,"2,534","2,481","2,475","7,515","1,753",536,"1,762","3,463","7,515",BRITANNIA
Mar 2011,161,"6,506",572,"1,359","8,597","3,094",285,591,"4,626","8,597",CIPLA
Mar 2012,161,"7,478",29,"1,682","9,350","3,215",371,"1,269","4,494","9,350",CIPLA
Mar 2013,161,"8,858",967,"1,672","11,658","3,610",378,"2,532","5,138","11,658",CIPLA
Mar 2014,161,"9,890","1,248","2,102","13,400","6,496",442,709,"5,753","13,400",CIPLA
Mar 2015,161,"10,629","1,703","3,178","15,670","6,830",581,640,"7,620","15,670",CIPLA
Mar 2016,161,"11,356","5,202","4,331","21,049","9,368","2,061",759,"8,862","21,049",CIPLA
Mar 2017,161,"12,383","4,113","4,213","20,869","9,492","1,683",973,"8,721","20,869",CIPLA
Mar 2018,161,"14,068","4,098","4,346","22,673","9,950",981,"1,259","10,483","22,673",CIPLA
Mar 2019,161,"14,851","4,316","4,433","23,762","9,608",676,"2,554","10,923","23,762",CIPLA
Mar 2020,161,"15,602","2,816","4,843","23,423","9,683",825,"1,471","11,444","23,423",CIPLA
Mar 2021,161,"18,165","2,014","4,514","24,855","9,516",969,"2,710","11,661","24,855",CIPLA
Mar 2022,161,"20,680","1,056","4,960","26,857","9,683",766,"2,551","13,857","26,857",CIPLA
Mar 2011,"6,316","26,998","1,554","50,997","85,865","12,843","2,057","1,064","69,900","85,865",COALINDIA
Mar 2012,"6,316","34,137","1,527","65,006","106,986","13,440","2,903","1,981","88,661","106,986",COALINDIA
Mar 2013,"6,316","42,156","1,305","61,206","110,983","13,466","3,496","2,395","91,626","110,983",COALINDIA
Mar 2014,"6,316","36,088",178,"62,356","104,938","14,784","4,316","3,775","82,063","104,938",COALINDIA
Mar 2015,"6,316","34,037",408,"70,505","111,267","16,115","5,159","2,813","87,179","111,267",COALINDIA
Mar 2016,"6,316","28,517","1,199","77,528","113,560","22,082","4,553","2,906","84,018","113,560",COALINDIA
Mar 2017,"6,207","18,311","3,014","91,054","118,587","23,811","8,585","1,483","84,708","118,587",COALINDIA
Mar 2018,"6,207","13,971","1,538","103,754","125,471","27,574","10,273","1,704","85,920","125,471",COALINDIA
Mar 2019,"6,163","20,292","2,210","104,356","133,021","32,618","9,658","3,170","87,576","133,021",COALINDIA
Mar 2020,"6,163","25,994","6,434","111,430","150,020","36,784","8,328","1,973","102,936","150,020",COALINDIA
Mar 2021,"6,163","30,355","5,884","118,649","161,051","42,405","10,490","5,950","102,206","161,051",COALINDIA
Mar 2022,"6,163","36,980","3,514","132,776","179,432","46,677","12,897","9,706","110,152","179,432",COALINDIA
Mar 2011,27,"1,771",23,454,"2,275",590,104,526,"1,055","2,275",DIVISLAB
Mar 2012,27,"2,105",55,570,"2,757",738,182,477,"1,359","2,757",DIVISLAB
Mar 2013,27,"2,474",33,605,"3,139",909,303,408,"1,519","3,139",DIVISLAB
Mar 2014,27,"2,937",18,729,"3,710","1,222",144,502,"1,842","3,710",DIVISLAB
Mar 2015,27,"3,469",27,883,"4,405","1,309",218,733,"2,145","4,405",DIVISLAB
Mar 2016,53,"4,240",42,562,"4,898","1,439",264,803,"2,392","4,898",DIVISLAB
Mar 2017,53,"5,304",36,762,"6,155","1,559",444,"1,631","2,521","6,155",DIVISLAB
Mar 2018,53,"5,872",63,797,"6,785","1,996",120,"1,889","2,780","6,785",DIVISLAB
Mar 2019,53,"6,904",106,973,"8,036","2,088",492,"1,946","3,511","8,036",DIVISLAB
Mar 2020,53,"7,257",39,"1,183","8,531","2,782",920,971,"3,858","8,531",DIVISLAB
Mar 2021,53,"9,242",5,"1,471","10,771","3,704",711,0,"6,356","10,771",DIVISLAB
Mar 2022,53,"11,675",4,"1,628","13,360","4,325",470,72,"8,493","13,360",DIVISLAB
Mar 2011,85,"3,947","2,371","2,461","8,863","3,386",575,1,"4,902","8,863",DRREDDY
Mar 2012,85,"4,904","3,234","3,082","11,305","3,412",708,208,"6,977","11,305",DRREDDY
Mar 2013,85,"6,284","3,682","3,329","13,380","4,051",565,197,"8,567","13,380",DRREDDY
Mar 2014,85,"7,780","4,477","3,563","15,906","4,641",639,"1,067","9,559","15,906",DRREDDY
Mar 2015,85,"9,768","4,314","4,290","18,457","5,377",529,"2,248","10,303","18,457",DRREDDY
Mar 2016,85,"12,484","3,352","4,408","20,330","6,563",772,"3,833","9,162","20,330",DRREDDY
Mar 2017,83,"12,179","4,918","4,474","21,654","6,931","3,324","2,110","9,290","21,654",DRREDDY
Mar 2018,83,"12,489","5,071","4,706","22,349","6,968","3,470","2,298","9,612","22,349",DRREDDY
Mar 2019,83,"13,994","3,838","4,503","22,418","7,191","2,934","2,587","9,707","22,418",DRREDDY
Mar 2020,83,"15,616","2,210","5,314","23,223","6,850","1,535","2,678","12,160","23,223",DRREDDY
Mar 2021,83,"17,755","3,031","5,719","26,588","8,206","1,565","2,212","14,605","26,588",DRREDDY
Mar 2022,83,"19,289","3,384","6,988","29,746","8,122","1,293","2,616","17,715","29,746",DRREDDY
Dec 2010,27,"1,205",96,"1,636","2,963",384,70,459,"2,050","2,963",EICHERMOT
Dec 2011,27,"1,466",43,"2,257","3,793",504,352,513,"2,424","3,793",EICHERMOT
Dec 2012,27,"1,728",23,"2,694","4,471",992,504,638,"2,337","4,471",EICHERMOT
Dec 2013,27,"2,028",84,"3,197","5,337","1,656",464,825,"2,391","5,337",EICHERMOT
Dec 2014,27,"2,489",58,"3,829","6,403","2,309",419,"1,078","2,597","6,403",EICHERMOT
Mar 2016,27,"3,626",23,"1,263","4,939",790,94,"3,388",667,"4,939",EICHERMOT
Mar 2017,27,"5,318",112,"1,552","7,009",873,374,"4,987",775,"7,009",EICHERMOT
Mar 2018,27,"7,003",151,"2,341","9,522","1,502",333,"5,581","2,106","9,522",EICHERMOT
Mar 2019,27,"8,891",187,"2,281","11,387","1,875",450,"4,923","4,140","11,387",EICHERMOT
Mar 2020,27,"9,954",249,"2,220","12,450","2,378",312,"5,749","4,011","12,450",EICHERMOT
Mar 2021,27,"11,411",219,"2,901","14,559","2,433",314,"3,902","7,909","14,559",EICHERMOT
Mar 2022,27,"12,581",108,"3,485","16,201","2,424",505,"7,721","5,551","16,201",EICHERMOT
Mar 2011,129,"14,444","6,783","10,703","32,021","16,851",866,"7,933","6,372","32,021",GRASIM
Mar 2012,134,"16,935","7,038","12,466","36,531","17,549","2,461","7,876","8,645","36,531",GRASIM
Mar 2013,92,"19,522","9,550","14,959","44,123","20,561","6,084","8,011","9,467","44,123",GRASIM
Mar 2014,92,"21,478","9,681","16,485","47,736","25,209","4,045","7,611","10,872","47,736",GRASIM
Mar 2015,92,"22,989","11,930","19,022","54,033","31,828","2,755","7,255","12,194","54,033",GRASIM
Mar 2016,93,"27,336","12,505","19,642","59,576","34,271","1,788","10,601","12,916","59,576",GRASIM
Mar 2017,93,"31,291","9,213","22,150","62,747","34,786","1,297","14,200","12,464","62,747",GRASIM
Mar 2018,188,"57,227","67,014","83,526","207,899","69,257","2,290","65,995","70,356","207,899",GRASIM
Mar 2019,201,"57,885","84,418","98,692","241,127","87,129","2,766","62,747","88,484","241,127",GRASIM
Mar 2020,143,"56,498","84,766","102,786","244,181","87,736","3,904","66,337","86,204","244,181",GRASIM
Mar 2021,143,"65,359","79,067","122,791","267,349","85,023","5,769","88,017","88,540","267,349",GRASIM
Mar 2022,143,"75,564","74,733","138,721","289,149","88,996","6,615","96,766","96,771","289,149",GRASIM
Jun 2011,138,"7,514","2,187","4,061","13,901","5,246",556,738,"7,362","13,901",HCLTECH
Jun 2012,139,"9,696","2,179","6,323","18,338","6,453",578,673,"10,633","18,338",HCLTECH
Jun 2013,139,"13,020","1,044","8,196","22,399","6,753",494,713,"14,440","22,399",HCLTECH
Jun 2014,140,"19,402","1,018","9,419","29,980","7,444",531,662,"21,343","29,980",HCLTECH
Jun 2015,281,"23,943",648,"10,373","35,245","8,275",552,869,"25,548","35,245",HCLTECH
Mar 2016,282,"27,109","1,090","10,860","39,341","9,716",611,698,"28,315","39,341",HCLTECH
Mar 2017,285,"32,664",582,"12,231","45,762","15,235",448,"1,306","28,773","45,762",HCLTECH
Mar 2018,278,"36,108",557,"11,046","47,989","18,753",320,"2,660","26,256","47,989",HCLTECH
Mar 2019,271,"41,095","4,195","12,788","58,349","22,888",235,"2,305","32,921","58,349",HCLTECH
Mar 2020,543,"50,724","7,986","23,566","82,819","37,490",400,"7,066","37,863","82,819",HCLTECH
Mar 2021,543,"59,370","6,864","19,270","86,047","37,145",312,"6,862","41,728","86,047",HCLTECH
Mar 2022,543,"61,371","6,343","20,664","88,921","35,077",129,"6,351","47,364","88,921",HCLTECH
Sep 2022,543,"60,698","6,517","20,757","88,515","35,022",97,"5,205","48,191","88,515",HCLTECH
Mar 2011,465,"25,118","222,938","29,442","277,963","2,201",0,"70,277","205,485","277,963",HDFCBANK
Mar 2012,469,"29,741","272,874","37,971","341,055","2,378",0,"96,795","241,882","341,055",HDFCBANK
Mar 2013,476,"36,167","335,588","35,492","407,723","2,773",0,"110,960","293,989","407,723",HDFCBANK
Mar 2014,480,"43,687","416,677","42,776","503,620","3,026",0,"119,571","381,023","503,620",HDFCBANK
Mar 2015,501,"62,653","509,762","34,181","607,097","3,225",0,"149,454","454,417","607,097",HDFCBANK
Mar 2016,506,"73,798","649,587","38,321","762,212","3,667",0,"193,634","564,912","762,212",HDFCBANK
Mar 2017,513,"91,281","741,550","59,000","892,344","4,000",0,"210,777","677,567","892,344",HDFCBANK
