quarter,promoter,fiis,diis,public,government,other,symbol
Jun 2022,34.64,24.76,21.52,18.78,0.01,0.29,HINDALCO
Sep 2022,34.65,24.85,26.8,13.11,0.22,0.36,HINDALCO
Dec 2019,67.18,12.32,6.68,13.82,0,,HINDUNILVR
Mar 2020,67.18,12.1,6.67,14.05,0,,HINDUNILVR
Jun 2020,61.9,14.81,8.34,14.95,0,,HINDUNILVR
Sep 2020,61.9,14.54,10.82,12.74,0,,HINDUNILVR
Dec 2020,61.9,14.92,10.72,12.46,0,,HINDUNILVR
Mar 2021,61.9,14.95,10.68,12.47,0,,HINDUNILVR
Jun 2021,61.9,15.11,10.75,12.24,0,,HINDUNILVR
Sep 2021,61.9,15.45,10.48,12.17,0,,HINDUNILVR
Dec 2021,61.9,14.71,10.85,12.53,0,,HINDUNILVR
Mar 2022,61.9,13.66,11.61,12.83,0,,HINDUNILVR
Jun 2022,61.9,13.3,12.2,12.6,0,,HINDUNILVR
Sep 2022,61.9,14.05,11.72,12.32,0.04,,HINDUNILVR
Dec 2019,,72.75,16.47,10.6,0.18,,HDFC
Mar 2020,,70.88,17.84,11.08,0.2,,HDFC
Jun 2020,,70.17,18.29,11.32,0.22,,HDFC
Sep 2020,,70,18.45,11.33,0.22,,HDFC
Dec 2020,,71.95,17.12,10.72,0.22,,HDFC
Mar 2021,,72.78,16.13,10.88,0.22,,HDFC
Jun 2021,,72.22,16.47,11.18,0.14,,HDFC
Sep 2021,,71.95,16.85,11.06,0.14,,HDFC
Dec 2021,,72.14,16.59,11.13,0.14,,HDFC
Mar 2022,,69.19,18.99,11.69,0.14,,HDFC
Jun 2022,,67.75,21.02,11.09,0.14,,HDFC
Sep 2022,,67.77,20.91,11.18,0.13,,HDFC
Dec 2019,,45.82,43.13,0.39,10.66,,ICICIBANK
Mar 2020,,43.73,44.58,11.31,0.39,,ICICIBANK
Jun 2020,,42.99,45.73,10.87,0.42,,ICICIBANK
Sep 2020,,45.69,43.7,10.2,0.41,,ICICIBANK
Dec 2020,,47.46,42.46,9.66,0.42,,ICICIBANK
Mar 2021,,47.81,41.7,10.06,0.43,,ICICIBANK
Jun 2021,,48.03,41.7,10.02,0.25,,ICICIBANK
Sep 2021,,47.31,42.49,9.95,0.25,,ICICIBANK
Dec 2021,,45.3,43.75,10.7,0.24,,ICICIBANK
Mar 2022,,43.95,44.58,11.23,0.24,,ICICIBANK
Jun 2022,,43.54,45.33,10.89,0.23,,ICICIBANK
Sep 2022,,44.77,44.55,10.44,0.24,,ICICIBANK
Dec 2019,,15.18,42.58,0,42.24,,ITC
Mar 2020,,14.65,42.46,42.89,0,,ITC
Jun 2020,,14.6,42.09,43.31,0,,ITC
Sep 2020,,12.96,43.54,43.5,0,,ITC
Dec 2020,,13.31,42.94,43.75,0,,ITC
Mar 2021,,12.79,42.5,44.71,0,,ITC
Jun 2021,,11.74,42.4,45.86,0,,ITC
Sep 2021,,10.81,43.72,45.47,0,,ITC
Dec 2021,,9.99,43.79,46.22,0,,ITC
Mar 2022,,11.99,42.77,45.24,0,,ITC
Jun 2022,,12.68,42.82,44.5,0,,ITC
Sep 2022,,42.68,42.38,14.87,0.04,,ITC
Dec 2019,14.38,55.22,14.95,15.45,0,,INDUSINDBK
Mar 2020,14.34,53.58,15.5,16.58,0,,INDUSINDBK
Jun 2020,14.65,52.07,14.72,18.55,0,,INDUSINDBK
